No      Date        Time         Lat      Lon        Dep     Mag   Coef      Times_MAD           Reference
   5   2023/05/18   13:56:30.870   19.3620   -99.1950     1.58    1.15  0.2086     9.1400      20230511150531.12
   1   2023/05/19   02:36:08.830   19.3680   -99.1910     1.53    1.11  0.2077     9.0700      20230511150531.12
   2   2023/05/19   08:51:56.030   19.3600   -99.2020     0.05    1.60  0.2301     9.2900      20230511042948.21
   3   2023/05/19   13:12:47.780   19.3610   -99.1890     1.28    1.17  0.2148     9.1200      20230511043453.09
   4   2023/05/19   14:20:58.640   19.3640   -99.1990     0.73    1.68  0.2253     9.1400      20230511042951.59
   5   2023/05/19   20:33:36.620   19.3600   -99.1930     1.63    1.10  0.2222     9.7000      20230511150531.12
   6   2023/05/19   23:46:08.370   19.3600   -99.1980     0.81    1.09  0.2275     9.0700      20230511042556.96
   1   2023/05/20   11:14:39.130   19.3660   -99.2040     0.53    1.03  0.2394     9.1300      20230512101933.83
   2   2023/05/20   16:05:37.290   19.3640   -99.1790     1.09    1.30  0.2483     9.1100      20230516105030.89
   1   2023/05/21   04:59:02.490   19.3660   -99.2040     0.05    1.64  0.2256     9.1800      20230511042948.21
   2   2023/05/21   08:50:41.990   19.3620   -99.1950     0.96    0.41  0.2298     9.0300      20230511042019.76
   3   2023/05/21   11:01:53.370   19.3670   -99.1890     1.42    1.08  0.2540    10.0200      20230512234650.64
   4   2023/05/21   11:14:38.210   19.3590   -99.1940     1.82    0.50  0.2622     9.0400      20230511165546.88
   5   2023/05/21   12:43:25.320   19.3610   -99.1790     1.43    0.87  0.2381     9.3900      20230517040903.56
   6   2023/05/21   22:54:06.970   19.3670   -99.1930     1.23    1.01  0.2145     9.1800      20230511043453.09
   1   2023/05/22   00:31:59.800   19.3740   -99.1910     1.50    1.41  0.2354     9.4200      20230515004101.45
   2   2023/05/22   17:16:24.730   19.3680   -99.1870     1.17    1.25  0.2054     9.0200      20230511074322.89
   1   2023/05/23   07:48:42.830   19.3640   -99.2040     0.15    1.60  0.2478     9.9100      20230511042948.21
   2   2023/05/23   07:50:56.150   19.3650   -99.1870     1.42    1.04  0.2367     9.1300      20230512234650.64
   3   2023/05/23   07:56:20.840   19.3670   -99.1830     1.43    0.71  0.2359     9.3200      20230517040903.56
   4   2023/05/23   10:25:31.760   19.3640   -99.2020     0.10    1.78  0.2404     9.6100      20230511042948.21
   5   2023/05/23   15:22:06.500   19.3590   -99.1930     1.28    1.54  0.2161     9.2500      20230511043453.09
   1   2023/05/24   09:49:50.860   19.3640   -99.1930     1.12    0.68  0.2051     9.0800      20230511074322.89
   1   2023/05/25   03:32:47.080   19.3720   -99.1890     1.65    1.52  0.2224     9.0500      20230515004101.45
   2   2023/05/25   06:40:41.340   19.3670   -99.1940     1.72    0.59  0.2787     9.4700      20230511165546.88
   3   2023/05/25   07:29:30.020   19.3590   -99.1910     1.27    1.16  0.2353     9.0700      20230512234650.64
   4   2023/05/25   08:04:29.960   19.3610   -99.1860     1.82    0.33  0.2686     9.1300      20230511165546.88
   5   2023/05/25   10:35:51.390   19.3600   -99.2100     0.10    1.72  0.2375     9.5400      20230511042948.21
   1   2023/05/26   02:37:25.660   19.3620   -99.1890     1.53    1.03  0.2070     9.1800      20230511150531.12
   2   2023/05/26   10:19:49.350   19.3640   -99.1930     1.27    0.79  0.2070     9.1900      20230511074322.89
   3   2023/05/26   11:27:37.330   19.3650   -99.1910     1.22    1.07  0.2310     9.1100      20230512234650.64
   4   2023/05/26   11:33:29.260   19.3630   -99.1880     1.87    0.47  0.2647     9.1500      20230511165546.88
   5   2023/05/26   12:21:05.130   19.3660   -99.2060     0.10    1.92  0.2211     9.0000      20230511042948.21
   1   2023/05/27   05:01:55.410   19.3650   -99.1830     1.43    0.86  0.2400     9.4800      20230517040903.56
   2   2023/05/27   09:44:09.700   19.3600   -99.2060     0.15    1.58  0.2294     9.2800      20230511042948.21
   3   2023/05/27   10:30:02.460   19.3630   -99.1950     0.97    0.37  0.2212     9.0300      20230511042017.00
   4   2023/05/27   10:57:16.360   19.3590   -99.1860     1.77    0.30  0.2669     9.1100      20230511165546.88
   5   2023/05/27   11:01:05.530   19.3650   -99.1870     1.42    1.03  0.2328     9.0700      20230512234650.64
   6   2023/05/27   11:57:57.180   19.3590   -99.1980     1.18    0.96  0.2235     9.3300      20230511152523.27
   7   2023/05/27   14:00:46.130   19.3640   -99.1910     1.63    0.97  0.2058     9.0400      20230511150531.12
   8   2023/05/27   21:50:08.290   19.3670   -99.2000     0.95    0.94  0.2468     9.0000      20230511042229.97
   1   2023/05/28   02:57:43.410   19.3600   -99.2040     0.25    1.70  0.2215     9.0400      20230511042948.21
   2   2023/05/28   10:45:44.020   19.3640   -99.2060     0.10    1.61  0.2232     9.1100      20230511042948.21
   3   2023/05/28   11:22:35.490   19.3610   -99.2010     1.42    0.68  0.2429     9.3300      20230511132510.26
   4   2023/05/28   11:31:24.760   19.3620   -99.2020     0.20    1.59  0.2247     9.1700      20230511042948.21
   1   2023/05/29   04:39:31.860   19.3580   -99.1920     1.00    0.89  0.2925     9.4700      20230511155809.43
   2   2023/05/29   11:20:14.230   19.3590   -99.1860     1.87    0.61  0.2737     9.1900      20230511165546.88
   3   2023/05/29   13:26:45.510   19.3590   -99.1970     0.55    0.97  0.2474     9.3100      20230511144340.97
   1   2023/05/30   07:58:53.530   19.3640   -99.1840     1.51    1.09  0.2437     9.2000      20230511143828.21
   2   2023/05/30   09:45:29.510   19.3700   -99.1890     1.65    0.84  0.2300     9.3400      20230515004101.45
   3   2023/05/30   09:50:20.420   19.3600   -99.2020     0.25    1.56  0.2352     9.3700      20230511042948.21
   4   2023/05/30   10:21:24.980   19.3590   -99.1940     1.82    0.30  0.2706     9.0700      20230511165546.88
   5   2023/05/30   15:53:23.570   19.3600   -99.1930     1.63    1.15  0.2068     9.1000      20230511150531.12
   6   2023/05/30   21:10:45.540   19.3760   -99.1910     1.50    1.60  0.2264     9.1900      20230515004101.45
   1   2023/05/31   00:31:15.140   19.3720   -99.1910     1.45    1.55  0.2243     9.1300      20230515004101.45
   2   2023/05/31   02:30:20.420   19.3620   -99.1870     1.27    1.23  0.2141     9.5000      20230511074322.89
   3   2023/05/31   06:18:00.710   19.3630   -99.1980     1.38    0.82  0.2173     9.0400      20230511152523.27
   4   2023/05/31   08:19:33.170   19.3610   -99.1940     1.82    0.53  0.2748     9.3100      20230511165546.88
   5   2023/05/31   09:44:48.010   19.3650   -99.1940     1.72    0.22  0.2820     9.5500      20230511165546.88
   6   2023/05/31   11:38:23.250   19.3610   -99.1950     1.22    1.09  0.2437     9.3800      20230512234650.64
   7   2023/05/31   21:35:11.250   19.3600   -99.1950     1.27    1.36  0.2030     9.0100      20230511074322.89
