Date,time,latitutde,longitude,depth,magnitude,cc,MAD,waveforms
2023/05/24,09:45:40.920,19.3600,-99.2030,0.50,1.62,0.2599,9.1800,DetectedFinal_20230524_01.jpg
2023/05/24,09:49:51.030,19.3670,-99.1880,0.50,0.56,0.2201,9.0400,DetectedFinal_20230524_02.jpg
2023/05/24,16:03:21.860,19.3670,-99.2030,0.75,0.78,0.2312,9.0900,DetectedFinal_20230524_03.jpg
2023/05/24,18:40:22.940,19.3630,-99.2010,1.25,0.81,0.2344,9.2100,DetectedFinal_20230524_04.jpg
2023/05/25,06:40:41.350,19.3640,-99.2040,0.50,0.40,0.2909,9.4900,DetectedFinal_20230525_01.jpg
2023/05/25,17:46:48.880,19.3630,-99.2000,1.50,1.48,0.2533,9.1100,DetectedFinal_20230525_02.jpg
2023/05/25,22:47:07.790,19.3640,-99.1960,1.50,1.41,0.2652,9.2400,DetectedFinal_20230525_03.jpg
2023/05/26,02:37:25.520,19.3630,-99.2030,1.50,0.71,0.2296,9.1400,DetectedFinal_20230526_01.jpg
2023/05/26,07:35:05.690,19.3600,-99.1990,1.50,1.56,0.2507,9.0000,DetectedFinal_20230526_02.jpg
2023/05/26,10:19:49.420,19.3710,-99.1880,1.00,0.74,0.2214,9.1300,DetectedFinal_20230526_03.jpg
2023/05/26,11:27:37.530,19.3670,-99.1900,0.50,0.99,0.2486,9.3900,DetectedFinal_20230526_04.jpg
2023/05/26,11:33:29.190,19.3600,-99.2000,1.50,0.24,0.2755,9.1200,DetectedFinal_20230526_05.jpg
2023/05/26,19:08:57.620,19.3670,-99.1890,1.00,0.92,0.2388,9.1200,DetectedFinal_20230526_06.jpg
2023/05/27,02:49:51.840,19.3640,-99.2030,0.75,0.99,0.2686,9.3900,DetectedFinal_20230527_01.jpg
2023/05/27,10:57:16.360,19.3560,-99.1960,1.00,0.06,0.2810,9.2100,DetectedFinal_20230527_02.jpg
2023/05/27,11:57:57.430,19.3570,-99.1920,1.00,0.85,0.2409,9.2100,DetectedFinal_20230527_03.jpg
2023/05/29,04:39:31.470,19.3560,-99.1970,1.25,0.89,0.3069,9.0000,DetectedFinal_20230529_01.jpg
2023/05/29,11:20:14.260,19.3560,-99.1960,1.00,0.51,0.2937,9.4900,DetectedFinal_20230529_02.jpg
2023/05/29,13:26:45.320,19.3580,-99.2000,1.15,0.67,0.2522,9.0300,DetectedFinal_20230529_03.jpg
2023/05/30,07:57:33.790,19.3600,-99.2020,1.25,0.80,0.2931,9.0600,DetectedFinal_20230530_01.jpg
2023/05/30,08:39:30.790,19.3670,-99.2000,1.30,0.41,0.2628,9.1300,DetectedFinal_20230530_02.jpg
2023/05/30,09:45:29.470,19.3760,-99.1990,1.50,0.83,0.2515,9.2100,DetectedFinal_20230530_03.jpg
2023/05/30,11:27:11.640,19.3600,-99.2010,1.50,1.74,0.2786,9.7700,DetectedFinal_20230530_04.jpg
2023/05/30,18:25:44.720,19.3670,-99.1880,1.50,1.08,0.2461,9.0500,DetectedFinal_20230530_05.jpg
2023/05/31,00:31:15.100,19.3780,-99.2010,0.75,1.73,0.2463,9.0500,DetectedFinal_20230531_01.jpg
2023/05/31,02:30:20.400,19.3650,-99.1860,1.50,0.95,0.2211,9.1000,DetectedFinal_20230531_02.jpg
2023/05/31,06:18:01.130,19.3610,-99.1880,0.50,0.75,0.2400,9.1300,DetectedFinal_20230531_03.jpg
2023/05/31,08:19:33.150,19.3560,-99.2040,0.50,0.25,0.2813,9.1400,DetectedFinal_20230531_04.jpg
2023/05/31,09:10:01.590,19.3640,-99.2040,0.75,0.14,0.2862,9.3000,DetectedFinal_20230531_05.jpg
2023/05/31,09:24:54.690,19.3640,-99.1990,1.25,1.56,0.2587,9.1500,DetectedFinal_20230531_06.jpg
2023/05/31,09:44:48.030,19.3640,-99.2040,0.50,-0.07,0.2779,9.0300,DetectedFinal_20230531_07.jpg
2023/05/31,11:38:23.410,19.3630,-99.1940,0.75,0.97,0.2502,9.2500,DetectedFinal_20230531_08.jpg
2023/05/31,21:35:11.300,19.3650,-99.1920,1.50,1.00,0.2213,9.1100,DetectedFinal_20230531_09.jpg
