#No.      Date        Time         Lat.      Lon.        Dep.     Mag.   Coef.      Times_MAD           Reference
   7   2023/12/23   16:29:17.160   19.3670   -99.1940     0.89    0.83  0.3478     9.5700      20231212171437.60
   1   2023/12/24   01:09:41.790   19.3690   -99.1990     0.84    1.16  0.3041     9.0100      20231228094951.29
   2   2023/12/24   03:22:32.240   19.3610   -99.1950     1.02    0.68  0.3443     9.1300      20231215052526.00
   3   2023/12/24   11:16:22.150   19.3680   -99.2000     0.78    0.77  0.3332     9.5600      20231203002902.38
   1   2023/12/25   02:30:13.740   19.3610   -99.2040     1.33    1.11  0.3508     9.1800      20231212171744.04
   2   2023/12/25   02:50:49.420   19.3700   -99.2000     1.14    1.24  0.3120     9.0500      20231216091035.51
   3   2023/12/25   11:30:43.200   19.3690   -99.1990     0.90    0.64  0.3272     9.1600      20231212172856.50
   4   2023/12/25   12:01:23.260   19.3640   -99.1980     1.09    0.21  0.3714     9.7300      20231212170627.74
   5   2023/12/25   18:21:33.450   19.3670   -99.2030     1.20    0.88  0.3208     9.1600      20231214201314.72
   1   2023/12/26   00:19:47.300   19.3700   -99.1970     0.54    0.75  0.3283     9.0100      20231212171437.68
   2   2023/12/26   03:12:49.910   19.3640   -99.1980     0.78    0.77  0.3199     9.1900      20231203002902.38
   3   2023/12/26   03:20:37.530   19.3670   -99.2030     0.94    1.22  0.3072     9.1700      20231228094951.29
   4   2023/12/26   13:35:45.280   19.3680   -99.1990     0.86    1.40  0.8370    25.6700      20231226133545.28
   5   2023/12/26   22:43:51.410   19.3630   -99.1980     1.13    0.60  0.3286     9.1400      20231212171229.12
   1   2023/12/27   05:15:00.400   19.3580   -99.1990     1.80    0.46  0.3317     9.2900      20231218192755.98
   3   2023/12/27   10:25:50.530   19.3660   -99.2020     1.32    0.29  0.3614     9.1800      20231212170753.06
   4   2023/12/27   22:31:21.990   19.3640   -99.1970     0.48    1.21  0.3568     9.7600      20231212171437.68
   5   2023/12/27   22:53:12.380   19.3640   -99.1950     0.76    0.77  0.3093     9.4200      20231226133545.28
   1   2023/12/28   03:03:14.020   19.3640   -99.2010     0.96    0.72  0.2951     9.0400      20231226133545.28
   2   2023/12/28   06:44:27.000   19.3730   -99.1930     0.80    0.83  0.3250     9.1000      20231212172856.50
   3   2023/12/28   09:10:45.480   19.3700   -99.2010     0.58    0.54  0.3338     9.1400      20231212171437.68
   4   2023/12/28   09:33:54.800   19.3670   -99.1990     0.96    1.80  1.0000    29.5600      20231228093354.80
   5   2023/12/28   09:49:51.290   19.3670   -99.1990     0.94    1.50  1.0000    29.7900      20231228094951.29
   6   2023/12/28   18:52:40.050   19.3690   -99.1980     0.93    0.68  0.3275     9.0900      20231212171229.12
   7   2023/12/28   22:16:44.030   19.3710   -99.1970     0.94    1.18  0.3043     9.0700      20231228094951.29
   1   2023/12/29   01:53:08.560   19.3670   -99.2030     1.02    1.29  0.3372     9.1700      20231215052526.00
   2   2023/12/29   08:37:40.750   19.3650   -99.2030     0.94    0.97  0.3203     9.5600      20231228094951.29
   3   2023/12/29   10:44:42.240   19.3680   -99.1990     0.54    0.52  0.3310     9.1100      20231212171437.68
   4   2023/12/29   18:18:58.120   19.3650   -99.1960     0.98    0.41  0.3242     9.0200      20231212171229.12
   5   2023/12/29   22:48:58.430   19.3640   -99.2010     0.69    0.97  0.3434     9.4600      20231212171437.68
   1   2023/12/30   07:54:26.800   19.3670   -99.2010     0.84    1.11  0.3067     9.0900      20231228094951.29
   2   2023/12/30   14:09:23.630   19.3640   -99.1960     1.32    0.80  0.3569     9.0200      20231212170753.06
   3   2023/12/30   22:14:35.750   19.3700   -99.1970     0.81    0.66  0.3017     9.1800      20231226133545.28
   1   2023/12/31   11:12:04.280   19.3580   -99.1990     0.93    1.19  0.3672     9.2700      20231212202309.88
   2   2023/12/31   11:45:52.210   19.3620   -99.2000     1.12    0.20  0.3677     9.5500      20231212170753.06
   3   2023/12/31   13:43:20.260   19.3620   -99.1970     1.08    1.51  0.3617     9.1300      20231212202309.88
   4   2023/12/31   14:20:37.520   19.3620   -99.2030     0.98    1.85  0.4164    10.5100      20231212202309.88
